page_id,keyword,annotation,url
1,大气物理,大气物理学是研究大气的物理现象、物理过程及其演变规律的学科，是大气科学的一个分支。它主要研究大气中的声象、光象、电象、辐射过程、云和降水物理、近地面层大气物理、平流层和中层大气物理，既是大气科学的基础理论部分，又是环境科学的一个部分。,https://baike.baidu.com/item/%E5%A4%A7%E6%B0%94%E7%89%A9%E7%90%86%E5%AD%A6/1823355
1,计生委,国家计划生育委员会作为国务院常设机构，负责全国的计划生育工作，这是1981年3月6日，五届人大第十七次常务委员会会议决定成立的。国家计生委历任主任为陈慕华、钱信忠、王伟、彭佩云、张维庆、李斌、王侠。 2003年3月，经第十届全国人大第一次会议决定，在国务院行政管理体制和机构改革中，将原国家计划生育委员会更名为国家人口和计划生育委员会。国家人口计生委承担着执行国家的人口和计划生育政策。,https://baike.baidu.com/item/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%9B%BD%E5%AE%B6%E8%AE%A1%E5%88%92%E7%94%9F%E8%82%B2%E5%A7%94%E5%91%98%E4%BC%9A/10974581
1,工程,工程是科学和数学的某种应用，通过这一应用，使自然界的物质和能源的特性能够通过各种结构、机器、产品、系统和过程，是以最短的时间和最少的人力、物力做出高效、可靠且对人类有用的东西。将自然科学的理论应用到具体工农业生产部门中形成的各学科的总称。,https://baike.baidu.com/item/%E5%B7%A5%E7%A8%8B/890231
1,海东,海东是青海省辖地级市，因位于青海湖以东而得名；属于黄土高原向青藏高原过渡镶嵌地带，属半干旱大陆性气候；全市总面积1.32万平方千米，下辖2区、4自治县；2017年常住人口147.08万。海东历史源远流长，在漫长的历史演进中，河湟地区由“逐水草而居”的原始游牧状态进入较发达的农耕文明。河湟各族人民在这片土地上共同开发建设，创造了灿烂的历史文化。2016年12月，被列为第三批国家新型城镇化综合试点地区。2017年，海东市地区生产总值436亿元，按可比价格计算，比上年增长8.4%。其中，第一产业增加值57.8亿元，增长5.2 %；第二产业增加值206.7亿元，增长10.8%；第三产业增加值171.5亿元，增长6.2%。,https://baike.baidu.com/item/%E6%B5%B7%E4%B8%9C/74742
1,中国环境科学研究院,中国环境科学研究院（Chinese Research Academy of Environmental Sciences）成立于1978年12月31日，隶属中华人民共和国生态环境部。中国环境科学研究院围绕国家可持续发展战略，开展创新性、基础性重大环境保护科学研究，致力于为国家经济社会发展和环境决策提供战略性、前瞻性和全局性的科技支撑，服务于经济社会发展中重大环境问题的工程技术与咨询需要。根据2017年11月研究院官网显示，中国环境科学研究院有职工近400人，有5名中国工程院院士；有1个国家重点实验室，7个国家环境保护重点实验室[4-5]；有博士生108人，硕士生137人，有在站博士后研究人员18名。,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E7%8E%AF%E5%A2%83%E7%A7%91%E5%AD%A6%E7%A0%94%E7%A9%B6%E9%99%A2/3242306
1,邢卫红,邢卫红,女，1968年12月生，汉族，江苏如东人，研究生，工学博士，研究员，二级教授，博士生导师，无党派，1994年8月参加工作。现为南京工业大学副校长；南京工业大学国家特种分离膜工程技术研究中心主任；国家杰出青年基金获得者。,https://baike.baidu.com/item/%E9%82%A2%E5%8D%AB%E7%BA%A2/792861
1,江桂斌,江桂斌，1957年出生于山东莱阳，分析化学和环境化学家，中国科学院院士、发展中国家科学院院士，中国科学院生态环境研究中心研究员、博士生导师、主任，环境化学与生态毒理学国家重点实验室主任，中国科学院大学资源与环境学院院长。1982年江桂斌从山东大学化学系毕业；1985年考入中国科学院生态环境研究中心，先后获得硕士学位、博士学位；1991年博士毕业后留在中国科学院生态环境研究中心工作；1998年获得国家杰出青年科学基金资助。2005年担任美国化学会杂志《Environmental Science & Technology》 副主编；2009年当选中国科学院院士；2012年当选发展中国家科学院院士，同年被任命为中国科学院生态环境研究中心主任（任期5年）；2013年担任山东大学环境科学与工程学院名誉院长；2017年担任中国分析测试协会理事长；2018年3月担任政协第十三届全国委员会人口资源环境委员会副主任。江桂斌主要从事环境分析化学方法、环境污染现状与过程机制和生态毒理学研究，研究领域涉及化学形态、分析仪器、环境过程与毒理、纳米材料环境应用及效应等。,https://baike.baidu.com/item/%E6%B1%9F%E6%A1%82%E6%96%8C/6022782
1,王小明,,https://baike.baidu.com//item/%E7%8E%8B%E5%B0%8F%E6%98%8E/22483735
1,苗艳青,苗艳青，经济学博士，现为卫生部卫生发展研究中心副研究员，农村卫生研究室副主任（主持工作），主要研究方向为环境与健康经济学，卫生经济学，主持国家自然科学基金2项，国家发改委和联合国儿童基金资助项目多项，作为主要参加者参加国家社科基金以及卫生部、财政部等省部级课题10多项，在《管理世界》、《世界经济》、《中国人口科学》、《农业经济问题》、《财政经济》等国内重点核心刊物上发表论文多篇。,https://baike.baidu.com/item/%E8%8B%97%E8%89%B3%E9%9D%92/10623772
1,郝吉明,郝吉明，1946年8月25日出生于山东省梁山县，环境工程专家，中国工程院院士、美国国家工程院外籍院士，清华大学环境学院教授、博士生导师。1970年郝吉明从清华大学给水排水工程专业毕业后留校任教；1981年清华大学核环境工程专业硕士毕业后赴美留学，进入辛辛那提大学环境工程专业攻读博士学位；1984年获得博士学位；1994年担任清华大学环境科学与工程系系主任；1999年出任清华大学环境科学与工程研究院院长；2005年当选为中国工程院院士；2006年担任清华大学丰田研究中心主任；2007年担任清华大学全球环境研究中心主任；2016年获得IBM全球杰出学者奖；2018年当选美国国家工程院外籍院士。郝吉明的主要研究领域为能源与环境、大气污染控制工程。,https://baike.baidu.com/item/%E9%83%9D%E5%90%89%E6%98%8E/5164664
1,研究所,研究所是指以科学研究为主要目的的社会企事业机构。在中国是一种完成为特殊科研目的和任务而建立的研究机构。随着社会的发展，现多以企业形式存在。在学术界，称其为科学试验的研究部门。研究所一直是国家重点扶持和照顾的对象，特别是军工类的研究所，比如航天两大集团，中电集团，航空，中船等重点研究所，一直是很多名校毕业生就业的首选。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6%E6%89%80/1884021
1,中国科学院,中国科学院（英文名称：Chinese Academy of Sciences，简称中科院）成立于1949年11月，为中国自然科学最高学术机构、科学技术最高咨询机构、自然科学与高技术综合研究发展中心。中国科学院提出了建设国家创新体系的构想，先后实施知识创新工程、“创新2020”、《“率先行动”计划暨全面深化改革纲要》，提出了《迎接知识经济时代，建设国家创新体系》、《创新促进发展，科技引领未来》、《创新2050：科学技术与中国的未来》、《科技发展新态势与面向2020年的战略选择》等战略研究报告。据2018年11月中国科学院官网显示，全院共拥有12个分院、100多家科研院所、3所大学（中国科学院大学、中国科学技术大学，与上海市共建上海科技大学）、130多个国家级重点实验室和工程中心、210多个野外观测台站，承担20余项国家重大科技基础设施的建设与运行，正式职工7.1万余人，在学研究生6.4万余人；建成了完整的自然科学学科体系，物理、化学、材料科学、数学、环境与生态学、地球科学等学科整体水平已进入世界先进行列，一些领域方向也具备了进入世界第一方阵的良好态势。在解决关系国家全局和长远发展的重大问题上，已成为不可替代的国家战略科技力量。一批科学家在国家重大科技任务中发挥了关键和中坚作用，并作为我国科技界的代表活跃在国际科技前沿。2019年9月，经党中央批准，十九届中央第四轮巡视将对中国科学院党组织开展常规巡视。,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E7%A7%91%E5%AD%A6%E9%99%A2/271375
1,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
1,卫生,卫生指个人和集体的生活卫生和生产卫生的总称。一般指为增进人体健康，预防疾病，改善和创造合乎生理、心理需求的生产环境、生活条件所采取的个人的和社会的卫生措施，包括以除害灭病、讲卫生为中心的爱国卫生运动。,https://baike.baidu.com/item/%E5%8D%AB%E7%94%9F/3556257
1,柴发合,柴发合，男，1955.4.15出生，硕士学位。曾任中国环境科学研究院副院长，研究员，兼职大连海事大学教授、博士生导师。2019年12月12日，获全国离退休干部先进个人表彰。,https://baike.baidu.com/item/%E6%9F%B4%E5%8F%91%E5%90%88/2755333
1,研究员,根据中华人民共和国人事部职称管理评审制度规定，职称是对技术人员工作能力的表述，是由职称评定委员会评审的。研究员是自然科学研究或社会科学研究系列职称，属于正高级职称。研究员职称系列包括实习研究员（初级），助理研究员（中级），副研究员（副高），研究员（正高）。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6%E5%91%98/8703381
1,研究院,研究院，在学术界，称其为科学试验的研究机构。是大学之后的进阶教育研究机构，一般设于大学中，以“某大学某研究生院”的形式存在，也有独立设立者。研究院与研究生院是两个不同的概念，但港澳地区一般将“研究生院”称为“研究院”。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6%E9%99%A2/5365502
1,科学,科学（Science）是一个建立在可检验的解释和对客观事物的形式、组织等进行预测的有序知识系统，是已系统化和公式化了的知识。根据科学反映对象的领域，主要分为自然科学、社会科学、思维科学、形式科学和交叉学科。,https://baike.baidu.com/item/%E7%A7%91%E5%AD%A6/10406
